Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
428,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2600,2565,2025-08-08
350,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2600,2550,2025-08-09
734,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2600,2560,2025-08-11
9,Varanasi,Varanasi,Wheat,Dara,FAQ,2530,2615,2565,2025-08-12
89,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2570,2025-08-13
492,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2635,2575,2025-08-14
503,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2570,2025-08-15
222,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2610,2565,2025-08-16
260,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2600,2565,2025-08-18
518,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2615,2570,2025-08-19
288,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2570,2025-08-21
490,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2615,2580,2025-08-22
392,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2615,2580,2025-08-23
430,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2635,2570,2025-08-25
311,Varanasi,Varanasi,Wheat,Dara,FAQ,2530,2625,2570,2025-08-26
332,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2615,2575,2025-08-27
